指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比,特殊處理註記,日期
發行量加權股價指數,"9,554.14",-,173.27,-0.0178,,2019-01-02
發行量加權股價指數,"9,492.42",-,61.72,-0.006500000000000001,,2019-01-03
發行量加權股價指數,"9,382.51",-,109.91,-0.0116,,2019-01-04
發行量加權股價指數,"9,590.30",+,207.79,0.0221,,2019-01-07
發行量加權股價指數,"9,563.60",-,26.7,-0.0028000000000000004,,2019-01-08
發行量加權股價指數,"9,738.31",+,174.71,0.0183,,2019-01-09
發行量加權股價指數,"9,720.69",-,17.62,-0.0018,,2019-01-10
發行量加權股價指數,"9,759.40",+,38.71,0.004,,2019-01-11
發行量加權股價指數,"9,708.22",-,51.18,-0.005200000000000001,,2019-01-14
發行量加權股價指數,"9,806.04",+,97.82,0.0101,,2019-01-15
發行量加權股價指數,"9,763.81",-,42.23,-0.0043,,2019-01-16
發行量加權股價指數,"9,789.15",+,25.34,0.0026000000000000003,,2019-01-17
發行量加權股價指數,"9,836.06",+,46.91,0.0048,,2019-01-18
發行量加權股價指數,"9,889.40",+,53.34,0.0054,,2019-01-21
發行量加權股價指數,"9,894.66",+,5.26,0.0005,,2019-01-22
發行量加權股價指數,"9,846.40",-,48.26,-0.0049,,2019-01-23
發行量加權股價指數,"9,877.12",+,30.72,0.0031,,2019-01-24
發行量加權股價指數,"9,969.61",+,92.49,0.0094,,2019-01-25
發行量加權股價指數,"10,013.33",+,43.72,0.0044,,2019-01-28
發行量加權股價指數,"9,931.59",-,81.74,-0.008199999999999999,,2019-01-29
發行量加權股價指數,"9,932.26",+,0.67,0.0001,,2019-01-30
發行量加權股價指數,"10,004.25",+,71.99,0.0072,,2019-02-11
發行量加權股價指數,"10,097.74",+,93.49,0.009300000000000001,,2019-02-12
發行量加權股價指數,"10,090.58",-,7.16,-0.0007000000000000001,,2019-02-13
發行量加權股價指數,"10,089.01",-,1.57,-0.0002,,2019-02-14
發行量加權股價指數,"10,064.78",-,24.23,-0.0024,,2019-02-15
發行量加權股價指數,"10,145.28",+,80.5,0.008,,2019-02-18
發行量加權股價指數,"10,152.26",+,6.98,0.0007000000000000001,,2019-02-19
發行量加權股價指數,"10,272.46",+,120.2,0.0118,,2019-02-20
發行量加權股價指數,"10,319.53",+,47.07,0.0046,,2019-02-21
發行量加權股價指數,"10,322.92",+,3.39,0.0003,,2019-02-22
發行量加權股價指數,"10,390.93",+,68.01,0.006600000000000001,,2019-02-25
發行量加權股價指數,"10,391.55",+,0.62,0.0001,,2019-02-26
發行量加權股價指數,"10,389.17",-,2.38,-0.0002,,2019-02-27
發行量加權股價指數,"10,349.88",-,39.29,-0.0038,,2019-03-04
發行量加權股價指數,"10,305.26",-,44.62,-0.0043,,2019-03-05
發行量加權股價指數,"10,357.15",+,51.89,0.005,,2019-03-06
發行量加權股價指數,"10,311.68",-,45.47,-0.0044,,2019-03-07
發行量加權股價指數,"10,241.75",-,69.93,-0.0068000000000000005,,2019-03-08
發行量加權股價指數,"10,250.28",+,8.53,0.0008,,2019-03-11
發行量加權股價指數,"10,343.33",+,93.05,0.0091,,2019-03-12
發行量加權股價指數,"10,373.32",+,29.99,0.0029,,2019-03-13
發行量加權股價指數,"10,348.65",-,24.67,-0.0024,,2019-03-14
發行量加權股價指數,"10,439.24",+,90.59,0.0088,,2019-03-15
發行量加權股價指數,"10,512.70",+,73.46,0.006999999999999999,,2019-03-18
發行量加權股價指數,"10,512.32",-,0.38,0.0,,2019-03-19
發行量加權股價指數,"10,551.56",+,39.24,0.0037,,2019-03-20
發行量加權股價指數,"10,609.55",+,57.99,0.0055000000000000005,,2019-03-21
發行量加權股價指數,"10,639.07",+,29.52,0.0028000000000000004,,2019-03-22
發行量加權股價指數,"10,479.48",-,159.59,-0.015,,2019-03-25
發行量加權股價指數,"10,559.20",+,79.72,0.0076,,2019-03-26
發行量加權股價指數,"10,542.70",-,16.5,-0.0016,,2019-03-27
發行量加權股價指數,"10,536.26",-,6.44,-0.0006,,2019-03-28
發行量加權股價指數,"10,641.04",+,104.78,0.0099,,2019-03-29
發行量加權股價指數,"10,642.63",+,1.59,0.0001,,2019-04-01
發行量加權股價指數,"10,690.30",+,47.67,0.0045000000000000005,,2019-04-02
發行量加權股價指數,"10,704.38",+,14.08,0.0013000000000000002,,2019-04-03
發行量加權股價指數,"10,800.57",+,96.19,0.009000000000000001,,2019-04-08
發行量加權股價指數,"10,851.60",+,51.03,0.0047,,2019-04-09
發行量加權股價指數,"10,868.14",+,16.54,0.0015,,2019-04-10
發行量加權股價指數,"10,808.77",-,59.37,-0.0055000000000000005,,2019-04-11
發行量加權股價指數,"10,805.30",-,3.47,-0.0003,,2019-04-12
發行量加權股價指數,"10,875.60",+,70.3,0.006500000000000001,,2019-04-15
發行量加權股價指數,"10,927.85",+,52.25,0.0048,,2019-04-16
發行量加權股價指數,"10,997.26",+,69.41,0.0064,,2019-04-17
發行量加權股價指數,"10,962.02",-,35.24,-0.0032,,2019-04-18
發行量加權股價指數,"10,968.50",+,6.48,0.0006,,2019-04-19
發行量加權股價指數,"10,987.71",+,19.21,0.0018,,2019-04-22
發行量加權股價指數,"11,025.68",+,37.97,0.0034999999999999996,,2019-04-23
發行量加權股價指數,"11,027.64",+,1.96,0.0002,,2019-04-24
發行量加權股價指數,"11,039.86",+,12.22,0.0011,,2019-04-25
發行量加權股價指數,"10,952.47",-,87.39,-0.0079,,2019-04-26
加權股價指數,"10,939.06",-,13.41,-0.0012,,2019-04-29
發行量加權股價指數,"10,967.73",+,28.67,0.0026000000000000003,,2019-04-30
發行量加權股價指數,"11,004.49",+,36.76,0.0034000000000000002,,2019-05-02
發行量加權股價指數,"11,096.30",+,91.81,0.0083,,2019-05-03
發行量加權股價指數,"10,897.12",-,199.18,-0.018000000000000002,,2019-05-06
發行量加權股價指數,"10,987.14",+,90.02,0.0083,,2019-05-07
發行量加權股價指數,"10,923.71",-,63.43,-0.0058,,2019-05-08
發行量加權股價指數,"10,733.67",-,190.04,-0.0174,,2019-05-09
發行量加權股價指數,"10,712.99",-,20.68,-0.0019,,2019-05-10
發行量加權股價指數,"10,558.29",-,154.7,-0.0144,,2019-05-13
發行量加權股價指數,"10,519.25",-,39.04,-0.0037,,2019-05-14
發行量加權股價指數,"10,560.71",+,41.46,0.0039000000000000003,,2019-05-15
發行量加權股價指數,"10,474.61",-,86.1,-0.008199999999999999,,2019-05-16
發行量加權股價指數,"10,384.11",-,90.5,-0.0086,,2019-05-17
發行量加權股價指數,"10,398.41",+,14.3,0.0014000000000000002,,2019-05-20
發行量加權股價指數,"10,464.50",+,66.09,0.0064,,2019-05-21
