證券代號,證券名稱,國際證券編碼,發行股數,外資及陸資尚可投資股數,全體外資及陸資持有股數,外資及陸資尚可投資比率,全體外資及陸資持股比率,外資及陸資共用法令投資上限比率,陸資法令投資上限比率,與前日異動原因(註),最近一次上市公司申報外資及陸資持股異動日期,日期
2357,華碩,TW0002357001,"742,760,280","259,666,996","483,093,284",34.95,0.6504000000000001,100.0,100.0,,107/05/16,2019-01-02
2357,華碩,TW0002357001,"742,760,280","259,240,378","483,519,902",34.9,0.6509,100.0,100.0,,107/05/16,2019-01-03
2357,華碩,TW0002357001,"742,760,280","258,617,378","484,142,902",34.81,0.6518,100.0,100.0,,107/05/16,2019-01-04
2357,華碩,TW0002357001,"742,760,280","258,047,878","484,712,402",34.74,0.6525,100.0,100.0,,107/05/16,2019-01-07
2357,華碩,TW0002357001,"742,760,280","257,885,878","484,874,402",34.71,0.6528,100.0,100.0, <a href=' https://mops.twse.com.tw/server-java/t98sb03?step=1&TYPEK=sii&colorchg=1&kind=3&co_id=2357&date=10801' target=_blank>4</a>,107/05/16,2019-01-08
2357,華碩,TW0002357001,"742,760,280","257,086,302","485,673,978",34.61,0.6537999999999999,100.0,100.0,,107/05/16,2019-01-09
2357,華碩,TW0002357001,"742,760,280","256,685,868","486,074,412",34.55,0.6544,100.0,100.0,,107/05/16,2019-01-10
2357,華碩,TW0002357001,"742,760,280","256,146,807","486,613,473",34.48,0.6551,100.0,100.0,,107/05/16,2019-01-11
2357,華碩,TW0002357001,"742,760,280","256,053,671","486,706,609",34.47,0.6552,100.0,100.0,,107/05/16,2019-01-14
2357,華碩,TW0002357001,"742,760,280","255,660,650","487,099,630",34.42,0.6557,100.0,100.0,,107/05/16,2019-01-15
2357,華碩,TW0002357001,"742,760,280","255,408,150","487,352,130",34.38,0.6561,100.0,100.0,,107/05/16,2019-01-16
2357,華碩,TW0002357001,"742,760,280","254,866,431","487,893,849",34.31,0.6568,100.0,100.0,,107/05/16,2019-01-17
2357,華碩,TW0002357001,"742,760,280","254,184,616","488,575,664",34.22,0.6577,100.0,100.0,,107/05/16,2019-01-18
2357,華碩,TW0002357001,"742,760,280","254,082,660","488,677,620",34.2,0.6579,100.0,100.0,,107/05/16,2019-01-21
2357,華碩,TW0002357001,"742,760,280","254,028,410","488,731,870",34.2,0.6579,100.0,100.0,,107/05/16,2019-01-22
2357,華碩,TW0002357001,"742,760,280","254,148,929","488,611,351",34.21,0.6578,100.0,100.0,,107/05/16,2019-01-23
2357,華碩,TW0002357001,"742,760,280","253,944,857","488,815,423",34.18,0.6581,100.0,100.0,,107/05/16,2019-01-24
2357,華碩,TW0002357001,"742,760,280","253,732,857","489,027,423",34.16,0.6583,100.0,100.0,,107/05/16,2019-01-25
2357,華碩,TW0002357001,"742,760,280","255,184,813","487,575,467",34.35,0.6564,100.0,100.0,,107/05/16,2019-01-28
2357,華碩,TW0002357001,"742,760,280","253,571,733","489,188,547",34.13,0.6586,100.0,100.0,,107/05/16,2019-01-29
2357,華碩,TW0002357001,"742,760,280","252,581,275","490,179,005",34.0,0.6598999999999999,100.0,100.0,,107/05/16,2019-01-30
2357,華碩,TW0002357001,"742,760,280","252,597,278","490,163,002",34.0,0.6598999999999999,100.0,100.0,,107/05/16,2019-02-11
2357,華碩,TW0002357001,"742,760,280","252,446,774","490,313,506",33.98,0.6601,100.0,100.0,,107/05/16,2019-02-12
2357,華碩,TW0002357001,"742,760,280","252,529,506","490,230,774",33.99,0.66,100.0,100.0,,107/05/16,2019-02-13
2357,華碩,TW0002357001,"742,760,280","252,424,047","490,336,233",33.98,0.6601,100.0,100.0,,107/05/16,2019-02-14
2357,華碩,TW0002357001,"742,760,280","252,673,025","490,087,255",34.01,0.6598,100.0,100.0,,107/05/16,2019-02-15
2357,華碩,TW0002357001,"742,760,280","252,568,995","490,191,285",34.0,0.6598999999999999,100.0,100.0,,107/05/16,2019-02-18
2357,華碩,TW0002357001,"742,760,280","252,610,995","490,149,285",34.0,0.6598999999999999,100.0,100.0,,107/05/16,2019-02-19
2357,華碩,TW0002357001,"742,760,280","252,490,165","490,270,115",33.99,0.66,100.0,100.0,,107/05/16,2019-02-20
2357,華碩,TW0002357001,"742,760,280","252,500,343","490,259,937",33.99,0.66,100.0,100.0,,107/05/16,2019-02-21
2357,華碩,TW0002357001,"742,760,280","252,828,951","489,931,329",34.03,0.6596,100.0,100.0,,107/05/16,2019-02-22
2357,華碩,TW0002357001,"742,760,280","252,761,076","489,999,204",34.02,0.6597,100.0,100.0,,107/05/16,2019-02-25
2357,華碩,TW0002357001,"742,760,280","252,868,695","489,891,585",34.04,0.6595000000000001,100.0,100.0,,107/05/16,2019-02-26
2357,華碩,TW0002357001,"742,760,280","253,759,585","489,000,695",34.16,0.6583,100.0,100.0,,107/05/16,2019-02-27
2357,華碩,TW0002357001,"742,760,280","253,797,810","488,962,470",34.16,0.6583,100.0,100.0,,107/05/16,2019-03-04
2357,華碩,TW0002357001,"742,760,280","253,681,590","489,078,690",34.15,0.6584000000000001,100.0,100.0,,107/05/16,2019-03-05
2357,華碩,TW0002357001,"742,760,280","253,725,193","489,035,087",34.15,0.6584000000000001,100.0,100.0,,107/05/16,2019-03-06
2357,華碩,TW0002357001,"742,760,280","253,698,993","489,061,287",34.15,0.6584000000000001,100.0,100.0,,107/05/16,2019-03-07
2357,華碩,TW0002357001,"742,760,280","253,944,827","488,815,453",34.18,0.6581,100.0,100.0,,107/05/16,2019-03-08
2357,華碩,TW0002357001,"742,760,280","254,211,932","488,548,348",34.22,0.6577,100.0,100.0,,107/05/16,2019-03-11
2357,華碩,TW0002357001,"742,760,280","253,981,685","488,778,595",34.19,0.658,100.0,100.0,,107/05/16,2019-03-12
2357,華碩,TW0002357001,"742,760,280","253,904,925","488,855,355",34.18,0.6581,100.0,100.0,,107/05/16,2019-03-13
2357,華碩,TW0002357001,"742,760,280","253,563,482","489,196,798",34.13,0.6586,100.0,100.0,,107/05/16,2019-03-14
2357,華碩,TW0002357001,"742,760,280","253,463,210","489,297,070",34.12,0.6587000000000001,100.0,100.0,,107/05/16,2019-03-15
2357,華碩,TW0002357001,"742,760,280","253,537,001","489,223,279",34.13,0.6586,100.0,100.0,,107/05/16,2019-03-18
2357,華碩,TW0002357001,"742,760,280","253,382,241","489,378,039",34.11,0.6587999999999999,100.0,100.0,,107/05/16,2019-03-19
2357,華碩,TW0002357001,"742,760,280","253,281,918","489,478,362",34.1,0.6589,100.0,100.0,,107/05/16,2019-03-20
2357,華碩,TW0002357001,"742,760,280","253,093,146","489,667,134",34.07,0.6592,100.0,100.0,,107/05/16,2019-03-21
2357,華碩,TW0002357001,"742,760,280","252,799,676","489,960,604",34.03,0.6596,100.0,100.0,,107/05/16,2019-03-22
2357,華碩,TW0002357001,"742,760,280","253,524,775","489,235,505",34.13,0.6586,100.0,100.0,,107/05/16,2019-03-25
2357,華碩,TW0002357001,"742,760,280","253,522,556","489,237,724",34.13,0.6586,100.0,100.0,,107/05/16,2019-03-26
2357,華碩,TW0002357001,"742,760,280","253,572,258","489,188,022",34.13,0.6586,100.0,100.0,,107/05/16,2019-03-27
2357,華碩,TW0002357001,"742,760,280","253,560,751","489,199,529",34.13,0.6586,100.0,100.0,,107/05/16,2019-03-28
2357,華碩,TW0002357001,"742,760,280","253,706,045","489,054,235",34.15,0.6584000000000001,100.0,100.0,,107/05/16,2019-03-29
2357,華碩,TW0002357001,"742,760,280","253,868,053","488,892,227",34.17,0.6581999999999999,100.0,100.0,,107/05/16,2019-04-01
2357,華碩,TW0002357001,"742,760,280","254,034,029","488,726,251",34.2,0.6579,100.0,100.0, <a href=' https://mops.twse.com.tw/server-java/t98sb03?step=1&TYPEK=sii&colorchg=1&kind=3&co_id=2357&date=10804' target=_blank>4</a>,107/05/16,2019-04-02
2357,華碩,TW0002357001,"742,760,280","254,119,956","488,640,324",34.21,0.6578,100.0,100.0,,107/05/16,2019-04-03
2357,華碩,TW0002357001,"742,760,280","254,133,029","488,627,251",34.21,0.6578,100.0,100.0,,107/05/16,2019-04-08
2357,華碩,TW0002357001,"742,760,280","254,757,459","488,002,821",34.29,0.657,100.0,100.0,,107/05/16,2019-04-09
2357,華碩,TW0002357001,"742,760,280","254,810,604","487,949,676",34.3,0.6569,100.0,100.0,,107/05/16,2019-04-10
2357,華碩,TW0002357001,"742,760,280","255,029,604","487,730,676",34.33,0.6566,100.0,100.0,,107/05/16,2019-04-11
2357,華碩,TW0002357001,"742,760,280","255,238,908","487,521,372",34.36,0.6563,100.0,100.0, <a href=' https://mops.twse.com.tw/server-java/t98sb03?step=1&TYPEK=sii&colorchg=1&kind=3&co_id=2357&date=10804' target=_blank>4</a>,107/05/16,2019-04-12
2357,華碩,TW0002357001,"742,760,280","255,157,016","487,603,264",34.35,0.6564,100.0,100.0,,107/05/16,2019-04-15
2357,華碩,TW0002357001,"742,760,280","255,046,496","487,713,784",34.33,0.6566,100.0,100.0,,107/05/16,2019-04-16
2357,華碩,TW0002357001,"742,760,280","254,455,310","488,304,970",34.25,0.6574,100.0,100.0,,107/05/16,2019-04-17
2357,華碩,TW0002357001,"742,760,280","254,665,896","488,094,384",34.28,0.6570999999999999,100.0,100.0,,107/05/16,2019-04-18
2357,華碩,TW0002357001,"742,760,280","254,534,806","488,225,474",34.26,0.6573000000000001,100.0,100.0,,107/05/16,2019-04-19
2357,華碩,TW0002357001,"742,760,280","254,568,206","488,192,074",34.27,0.6572,100.0,100.0,,107/05/16,2019-04-22
2357,華碩,TW0002357001,"742,760,280","254,470,686","488,289,594",34.26,0.6573000000000001,100.0,100.0,,107/05/16,2019-04-23
2357,華碩,TW0002357001,"742,760,280","254,476,376","488,283,904",34.26,0.6573000000000001,100.0,100.0, <a href=' https://mops.twse.com.tw/server-java/t98sb03?step=1&TYPEK=sii&colorchg=1&kind=3&co_id=2357&date=10804' target=_blank>4</a>,107/05/16,2019-04-24
2357,華碩,TW0002357001,"742,760,280","254,379,089","488,381,191",34.24,0.6575,100.0,100.0,,107/05/16,2019-04-25
2357,華碩,TW0002357001,"742,760,280","254,401,721","488,358,559",34.25,0.6574,100.0,100.0,,107/05/16,2019-04-26
2357,華碩,TW0002357001,"742,760,280","254,330,869","488,429,411",34.24,0.6575,100.0,100.0,,107/05/16,2019-04-29
2357,華碩,TW0002357001,"742,760,280","254,249,556","488,510,724",34.23,0.6576000000000001,100.0,100.0,,107/05/16,2019-04-30
2357,華碩,TW0002357001,"742,760,280","254,006,569","488,753,711",34.19,0.658,100.0,100.0,,107/05/16,2019-05-02
2357,華碩,TW0002357001,"742,760,280","253,918,069","488,842,211",34.18,0.6581,100.0,100.0,,107/05/16,2019-05-03
