指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"18,270.51",+,51.67,0.28,,2022-01-03
發行量加權股價指數,"18,526.35",+,255.84,1.40,,2022-01-04
發行量加權股價指數,"18,499.96",-,26.39,-0.14,,2022-01-05
發行量加權股價指數,"18,367.92",-,132.04,-0.71,,2022-01-06
發行量加權股價指數,"18,169.76",-,198.16,-1.08,,2022-01-07
發行量加權股價指數,"18,239.38",+,69.62,0.38,,2022-01-10
發行量加權股價指數,"18,288.21",+,48.83,0.27,,2022-01-11
發行量加權股價指數,"18,375.40",+,87.19,0.48,,2022-01-12
發行量加權股價指數,"18,436.93",+,61.53,0.33,,2022-01-13
發行量加權股價指數,"18,403.33",-,33.60,-0.18,,2022-01-14
發行量加權股價指數,"18,525.44",+,122.11,0.66,,2022-01-17
發行量加權股價指數,"18,378.64",-,146.80,-0.79,,2022-01-18
發行量加權股價指數,"18,227.46",-,151.18,-0.82,,2022-01-19
發行量加權股價指數,"18,218.28",-,9.18,-0.05,,2022-01-20
發行量加權股價指數,"17,899.30",-,318.98,-1.75,,2022-01-21
發行量加權股價指數,"17,989.04",+,89.74,0.50,,2022-01-24
發行量加權股價指數,"17,701.12",-,287.92,-1.60,,2022-01-25
發行量加權股價指數,"17,674.40",-,26.72,-0.15,,2022-01-26
