證券代號,證券名稱,國際證券編碼,發行股數,外資及陸資尚可投資股數,全體外資及陸資持有股數,外資及陸資尚可投資比率,全體外資及陸資持股比率,外資及陸資共用法令投資上限比率,陸資法令投資上限比率,與前日異動原因(註),最近一次上市公司申報外資及陸資持股異動日期,日期
2417,圓剛,TW0002417003,"192,892,330","183,764,735","9,127,595",95.26,4.73,100.0,100.0,,107/06/01,2019-01-02
2417,圓剛,TW0002417003,"192,892,330","183,739,735","9,152,595",95.25,4.74,100.0,100.0,,107/06/01,2019-01-03
2417,圓剛,TW0002417003,"192,892,330","183,723,735","9,168,595",95.24,4.75,100.0,100.0,,107/06/01,2019-01-04
2417,圓剛,TW0002417003,"192,892,330","183,710,735","9,181,595",95.24,4.75,100.0,100.0,,107/06/01,2019-01-07
2417,圓剛,TW0002417003,"192,892,330","183,725,734","9,166,596",95.24,4.75,100.0,100.0,,107/06/01,2019-01-08
2417,圓剛,TW0002417003,"192,892,330","183,694,734","9,197,596",95.23,4.76,100.0,100.0,,107/06/01,2019-01-09
2417,圓剛,TW0002417003,"192,892,330","183,700,734","9,191,596",95.23,4.76,100.0,100.0,,107/06/01,2019-01-10
2417,圓剛,TW0002417003,"192,892,330","183,692,734","9,199,596",95.23,4.76,100.0,100.0,,107/06/01,2019-01-11
2417,圓剛,TW0002417003,"192,892,330","183,690,734","9,201,596",95.22,4.77,100.0,100.0,,107/06/01,2019-01-14
2417,圓剛,TW0002417003,"192,892,330","183,672,734","9,219,596",95.22,4.77,100.0,100.0,,107/06/01,2019-01-15
2417,圓剛,TW0002417003,"192,892,330","183,672,734","9,219,596",95.22,4.77,100.0,100.0,,107/06/01,2019-01-16
2417,圓剛,TW0002417003,"192,892,330","183,654,734","9,237,596",95.21,4.78,100.0,100.0,,107/06/01,2019-01-17
2417,圓剛,TW0002417003,"192,892,330","183,644,734","9,247,596",95.2,4.79,100.0,100.0,,107/06/01,2019-01-18
2417,圓剛,TW0002417003,"192,892,330","183,620,734","9,271,596",95.19,4.8,100.0,100.0,,107/06/01,2019-01-21
2417,圓剛,TW0002417003,"192,892,330","183,626,734","9,265,596",95.19,4.8,100.0,100.0,,107/06/01,2019-01-22
2417,圓剛,TW0002417003,"192,892,330","183,627,734","9,264,596",95.19,4.8,100.0,100.0,,107/06/01,2019-01-23
2417,圓剛,TW0002417003,"192,892,330","183,542,734","9,349,596",95.15,4.84,100.0,100.0,,107/06/01,2019-01-24
2417,圓剛,TW0002417003,"192,892,330","183,549,734","9,342,596",95.15,4.84,100.0,100.0,,107/06/01,2019-01-25
2417,圓剛,TW0002417003,"192,892,330","183,542,734","9,349,596",95.15,4.84,100.0,100.0,,107/06/01,2019-01-28
2417,圓剛,TW0002417003,"192,892,330","183,542,734","9,349,596",95.15,4.84,100.0,100.0,,107/06/01,2019-01-29
2417,圓剛,TW0002417003,"192,892,330","183,523,734","9,368,596",95.14,4.85,100.0,100.0,,107/06/01,2019-01-30
2417,圓剛,TW0002417003,"192,892,330","183,523,734","9,368,596",95.14,4.85,100.0,100.0,,107/06/01,2019-01-31
2417,圓剛,TW0002417003,"192,892,330","183,523,734","9,368,596",95.14,4.85,100.0,100.0,,107/06/01,2019-02-01
2417,圓剛,TW0002417003,"192,892,330","183,522,734","9,369,596",95.14,4.85,100.0,100.0,,107/06/01,2019-02-11
2417,圓剛,TW0002417003,"192,892,330","183,490,734","9,401,596",95.12,4.87,100.0,100.0,,107/06/01,2019-02-12
2417,圓剛,TW0002417003,"192,892,330","183,458,734","9,433,596",95.1,4.89,100.0,100.0,,107/06/01,2019-02-13
2417,圓剛,TW0002417003,"192,892,330","183,345,734","9,546,596",95.05,4.94,100.0,100.0,,107/06/01,2019-02-14
2417,圓剛,TW0002417003,"192,892,330","183,299,734","9,592,596",95.02,4.97,100.0,100.0,,107/06/01,2019-02-15
2417,圓剛,TW0002417003,"192,892,330","183,331,734","9,560,596",95.04,4.95,100.0,100.0,,107/06/01,2019-02-18
2417,圓剛,TW0002417003,"192,892,330","183,345,734","9,546,596",95.05,4.94,100.0,100.0,,107/06/01,2019-02-19
2417,圓剛,TW0002417003,"192,892,330","183,259,734","9,632,596",95.0,4.99,100.0,100.0,,107/06/01,2019-02-20
2417,圓剛,TW0002417003,"192,892,330","183,264,734","9,627,596",95.0,4.99,100.0,100.0,,107/06/01,2019-02-21
2417,圓剛,TW0002417003,"192,892,330","183,311,734","9,580,596",95.03,4.96,100.0,100.0,,107/06/01,2019-02-22
2417,圓剛,TW0002417003,"192,892,330","183,307,734","9,584,596",95.03,4.96,100.0,100.0,,107/06/01,2019-02-25
