證券代號,證券名稱,國際證券編碼,發行股數,外資及陸資尚可投資股數,全體外資及陸資持有股數,外資及陸資尚可投資比率,全體外資及陸資持股比率,外資及陸資共用法令投資上限比率,陸資法令投資上限比率,與前日異動原因(註),最近一次上市公司申報外資及陸資持股異動日期,日期
2357,華碩,TW0002357001,"742,760,280","386,666,050","356,094,230",52.05,47.94,100.00,100.00,,110/05/24,2022-05-03
2382,廣達,TW0002382009,"3,862,627,432","2,856,650,056","1,005,977,376",73.95,26.04,100.00,100.00,,110/05/17,2022-05-03
2417,圓剛,TW0002417003,"154,313,864","152,948,860","1,365,004",99.11,0.88,100.00,100.00,,110/10/08,2022-05-03
2357,華碩,TW0002357001,"742,760,280","386,620,952","356,139,328",52.05,47.94,100.00,100.00,,110/05/24,2022-05-04
2382,廣達,TW0002382009,"3,862,627,432","2,856,877,260","1,005,750,172",73.96,26.03,100.00,100.00,,110/05/17,2022-05-04
2417,圓剛,TW0002417003,"154,313,864","152,797,906","1,515,958",99.01,0.98,100.00,100.00,,110/10/08,2022-05-04
2357,華碩,TW0002357001,"742,760,280","386,007,675","356,752,605",51.96,48.03,100.00,100.00,,110/05/24,2022-05-05
2382,廣達,TW0002382009,"3,862,627,432","2,858,072,193","1,004,555,239",73.99,26.0,100.00,100.00,,110/05/17,2022-05-05
2417,圓剛,TW0002417003,"154,313,864","152,682,906","1,630,958",98.94,1.05,100.00,100.00,,110/10/08,2022-05-05
2357,華碩,TW0002357001,"742,760,280","386,635,091","356,125,189",52.05,47.94,100.00,100.00,,110/05/24,2022-05-06
2382,廣達,TW0002382009,"3,862,627,432","2,858,772,782","1,003,854,650",74.01,25.98,100.00,100.00,,110/05/17,2022-05-06
2417,圓剛,TW0002417003,"154,313,864","152,760,132","1,553,732",98.99,1.0,100.00,100.00,,110/10/08,2022-05-06
2357,華碩,TW0002357001,"742,760,280","386,820,901","355,939,379",52.07,47.92,100.00,100.00,,110/05/24,2022-05-09
2382,廣達,TW0002382009,"3,862,627,432","2,860,562,171","1,002,065,261",74.05,25.94,100.00,100.00,,110/05/17,2022-05-09
2417,圓剛,TW0002417003,"154,313,864","152,901,132","1,412,732",99.08,0.91,100.00,100.00,,110/10/08,2022-05-09
2357,華碩,TW0002357001,"742,760,280","386,827,446","355,932,834",52.07,47.92,100.00,100.00,,110/05/24,2022-05-10
2382,廣達,TW0002382009,"3,862,627,432","2,861,878,049","1,000,749,383",74.09,25.9,100.00,100.00,,110/05/17,2022-05-10
2417,圓剛,TW0002417003,"154,313,864","152,878,532","1,435,332",99.06,0.93,100.00,100.00,,110/10/08,2022-05-10
2357,華碩,TW0002357001,"742,760,280","386,934,355","355,825,925",52.09,47.9,100.00,100.00,,110/05/24,2022-05-11
2382,廣達,TW0002382009,"3,862,627,432","2,863,363,962","999,263,470",74.12,25.87,100.00,100.00,,110/05/17,2022-05-11
2417,圓剛,TW0002417003,"154,313,864","153,199,532","1,114,332",99.27,0.72,100.00,100.00,,110/10/08,2022-05-11
2357,華碩,TW0002357001,"742,760,280","388,819,358","353,940,922",52.34,47.65,100.00,100.00,,110/05/24,2022-05-12
2382,廣達,TW0002382009,"3,862,627,432","2,864,798,858","997,828,574",74.16,25.83,100.00,100.00,,110/05/17,2022-05-12
2417,圓剛,TW0002417003,"154,313,864","153,049,532","1,264,332",99.18,0.81,100.00,100.00,,110/10/08,2022-05-12
2357,華碩,TW0002357001,"742,760,280","390,369,807","352,390,473",52.55,47.44,100.00,100.00,,110/05/24,2022-05-13
2382,廣達,TW0002382009,"3,862,627,432","2,866,402,763","996,224,669",74.2,25.79,100.00,100.00,,110/05/17,2022-05-13
2417,圓剛,TW0002417003,"154,313,864","152,905,532","1,408,332",99.08,0.91,100.00,100.00,,110/10/08,2022-05-13
2357,華碩,TW0002357001,"742,760,280","390,972,103","351,788,177",52.63,47.36,100.00,100.00,,110/05/24,2022-05-16
2382,廣達,TW0002382009,"3,862,627,432","2,878,884,893","983,742,539",74.53,25.46,100.00,100.00,,110/05/17,2022-05-16
2417,圓剛,TW0002417003,"154,313,864","152,839,532","1,474,332",99.04,0.95,100.00,100.00,,110/10/08,2022-05-16
2357,華碩,TW0002357001,"742,760,280","391,219,964","351,540,316",52.67,47.32,100.00,100.00,,110/05/24,2022-05-17
2382,廣達,TW0002382009,"3,862,627,432","2,885,945,727","976,681,705",74.71,25.28,100.00,100.00,,110/05/17,2022-05-17
2417,圓剛,TW0002417003,"154,313,864","152,722,532","1,591,332",98.96,1.03,100.00,100.00,,110/10/08,2022-05-17
2357,華碩,TW0002357001,"742,760,280","391,440,763","351,319,517",52.7,47.29,100.00,100.00,,110/05/24,2022-05-18
2382,廣達,TW0002382009,"3,862,627,432","2,892,485,217","970,142,215",74.88,25.11,100.00,100.00,,110/05/17,2022-05-18
2417,圓剛,TW0002417003,"154,313,864","152,759,532","1,554,332",98.99,1.0,100.00,100.00,,110/10/08,2022-05-18
2357,華碩,TW0002357001,"742,760,280","392,366,875","350,393,405",52.82,47.17,100.00,100.00,,110/05/24,2022-05-19
2382,廣達,TW0002382009,"3,862,627,432","2,894,978,094","967,649,338",74.94,25.05,100.00,100.00,,110/05/17,2022-05-19
2417,圓剛,TW0002417003,"154,313,864","153,011,842","1,302,022",99.15,0.84,100.00,100.00, <a href='https://mops.twse.com.tw/mops/web/t98sb02' target=_blank>2</a>,111/05/19,2022-05-19
2357,華碩,TW0002357001,"742,760,280","392,448,343","350,311,937",52.83,47.16,100.00,100.00,,110/05/24,2022-05-20
2382,廣達,TW0002382009,"3,862,627,432","2,900,074,253","962,553,179",75.08,24.91,100.00,100.00,,110/05/17,2022-05-20
2417,圓剛,TW0002417003,"154,313,864","153,078,842","1,235,022",99.19,0.8,100.00,100.00,,111/05/19,2022-05-20
2357,華碩,TW0002357001,"742,760,280","392,750,690","350,009,590",52.87,47.12,100.00,100.00,,110/05/24,2022-05-23
2382,廣達,TW0002382009,"3,862,627,432","2,899,563,328","963,064,104",75.06,24.93,100.00,100.00,,110/05/17,2022-05-23
2417,圓剛,TW0002417003,"154,313,864","153,094,842","1,219,022",99.21,0.78,100.00,100.00,,111/05/19,2022-05-23
2357,華碩,TW0002357001,"742,760,280","393,417,299","349,342,981",52.96,47.03,100.00,100.00,,110/05/24,2022-05-24
2382,廣達,TW0002382009,"3,862,627,432","2,902,596,807","960,030,625",75.14,24.85,100.00,100.00, <a href='https://mops.twse.com.tw/mops/web/t98sb02' target=_blank>2</a>,111/05/24,2022-05-24
2417,圓剛,TW0002417003,"154,313,864","152,974,842","1,339,022",99.13,0.86,100.00,100.00,,111/05/19,2022-05-24
2357,華碩,TW0002357001,"742,760,280","392,995,145","349,765,135",52.91,47.08,100.00,100.00,,110/05/24,2022-05-25
2382,廣達,TW0002382009,"3,862,627,432","2,902,051,768","960,575,664",75.13,24.86,100.00,100.00,,111/05/24,2022-05-25
2417,圓剛,TW0002417003,"154,313,864","152,959,842","1,354,022",99.12,0.87,100.00,100.00,,111/05/19,2022-05-25
2357,華碩,TW0002357001,"742,760,280","393,357,150","349,403,130",52.95,47.04,100.00,100.00, <a href=' https://mops.twse.com.tw/server-java/t98sb03?step=1&TYPEK=sii&colorchg=1&kind=3&co_id=2357&date=11105' target=_blank>4</a>,110/05/24,2022-05-26
2382,廣達,TW0002382009,"3,862,627,432","2,903,522,840","959,104,592",75.16,24.83,100.00,100.00,,111/05/24,2022-05-26
2417,圓剛,TW0002417003,"154,313,864","153,089,842","1,224,022",99.2,0.79,100.00,100.00,,111/05/19,2022-05-26
2357,華碩,TW0002357001,"742,760,280","393,473,958","349,286,322",52.97,47.02,100.00,100.00,,110/05/24,2022-05-27
2382,廣達,TW0002382009,"3,862,627,432","2,905,354,560","957,272,872",75.21,24.78,100.00,100.00,,111/05/24,2022-05-27
2417,圓剛,TW0002417003,"154,313,864","152,930,842","1,383,022",99.1,0.89,100.00,100.00,,111/05/19,2022-05-27
2357,華碩,TW0002357001,"742,760,280","392,842,345","349,917,935",52.88,47.11,100.00,100.00,,110/05/24,2022-05-30
2382,廣達,TW0002382009,"3,862,627,432","2,904,561,393","958,066,039",75.19,24.8,100.00,100.00,,111/05/24,2022-05-30
2417,圓剛,TW0002417003,"154,313,864","152,629,842","1,684,022",98.9,1.09,100.00,100.00,,111/05/19,2022-05-30
2357,華碩,TW0002357001,"742,760,280","392,480,236","350,280,044",52.84,47.15,100.00,100.00,,110/05/24,2022-05-31
2382,廣達,TW0002382009,"3,862,627,432","2,904,894,627","957,732,805",75.2,24.79,100.00,100.00,,111/05/24,2022-05-31
2417,圓剛,TW0002417003,"158,428,864","156,631,842","1,797,022",98.86,1.13,100.00,100.00, <a href='https://mops.twse.com.tw/mops/web/t98sb02' target=_blank>2</a>,111/05/31,2022-05-31
