Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,12.687500,13.750000,12.500000,13.500000,11.679102,6796275
2019-02-01,13.500000,15.375000,13.500000,14.312500,12.382010,12375991
2019-03-01,14.312500,15.625000,14.000000,15.500000,13.409339,20336221
2019-04-01,15.500000,17.312500,15.000000,15.312500,13.247129,34100605
2019-05-01,15.312500,17.625000,13.312500,13.875000,12.003521,26035244
2019-06-01,13.750000,14.562500,13.500000,13.875000,12.003521,4874183
2019-07-01,14.000000,14.750000,13.750000,14.062500,12.165732,9839609
2019-08-01,13.937500,14.500000,13.000000,13.312500,11.620648,7392025
2019-09-01,13.312500,13.937500,13.125000,13.125000,11.456978,7029888
2019-10-01,13.250000,14.375000,12.875000,13.437500,11.729762,9443869
2019-11-01,13.625000,13.625000,12.562500,12.562500,10.965964,5638263
2019-12-01,12.625000,13.125000,12.500000,12.937500,11.293305,5015344
2020-01-01,12.937500,13.062500,11.862500,11.975000,10.453128,5126264
2020-02-01,11.812500,16.125000,11.262500,15.187500,13.257360,58274196
2020-03-01,14.687500,17.437500,10.125000,12.187500,10.638622,106138938
2020-04-01,12.100000,15.562500,11.937500,15.250000,13.311916,84516783
2020-05-01,15.250000,18.250000,15.062500,17.125000,14.948628,61083576
2020-06-01,17.312500,36.625000,17.187500,36.250000,31.643082,234752936
2020-07-01,36.625000,51.000000,34.062500,44.687500,39.008278,442513567
2020-08-01,44.750000,87.500000,44.125000,87.500000,76.648796,321143968
2020-09-01,87.625000,106.750000,69.875000,75.625000,66.246460,522505290
2020-10-01,75.625000,90.500000,73.875000,77.750000,68.107933,372189418
2020-11-01,78.500000,79.625000,68.375000,74.500000,65.260971,207433286
2020-12-01,75.000000,75.250000,60.000000,62.437500,54.694389,140962719
2021-01-01,62.437500,65.125000,55.687500,56.625000,49.602718,136031651
2021-02-01,56.250000,60.375000,53.562500,58.312500,51.080948,45953626
2021-03-01,58.312500,63.500000,52.812500,59.937500,52.504425,80580890
2021-04-01,60.312500,68.125000,57.500000,59.687500,52.285427,88977292
2021-05-01,61.000000,64.500000,46.375000,54.500000,47.741249,129086707
2021-06-01,54.625000,56.500000,49.625000,50.375000,44.127808,28117586
2021-07-01,50.312500,52.062500,42.812500,44.000000,38.543396,31680927
2021-08-01,44.312500,46.125000,33.250000,35.875000,33.115578,33578101
2021-09-01,35.875000,39.125000,32.562500,32.562500,30.057865,50386347
2021-10-01,32.562500,32.562500,23.850000,27.150000,26.701710,42531737
2021-11-01,27.400000,28.299999,24.900000,25.100000,24.685558,21611038
2021-12-01,25.500000,34.299999,24.100000,32.000000,31.471628,108258289
2022-01-01,32.000000,37.599998,30.049999,30.100000,29.603001,91935927
2022-02-01,30.700001,31.750000,26.500000,27.250000,26.800060,11870644
2022-03-01,27.250000,29.299999,24.400000,27.799999,27.340977,24835753
2022-04-01,28.200001,36.500000,24.900000,29.100000,28.619513,177567999
2022-05-01,29.100000,29.350000,24.200001,25.900000,25.472349,34229535
2022-06-01,26.200001,26.700001,21.299999,21.450001,21.095827,16269690
2022-07-01,21.350000,23.000000,19.350000,22.250000,21.882616,8237371
2022-08-01,22.200001,24.950001,20.000000,24.299999,24.077335,11815467
2022-09-01,24.100000,26.450001,18.750000,19.650000,19.469944,21494340
2022-10-01,19.600000,23.200001,18.799999,19.549999,19.370859,10915329
2022-11-01,19.799999,25.200001,19.600000,23.200001,22.987415,25424155
2022-12-01,23.350000,24.750000,21.850000,22.200001,21.996578,17967779
2023-01-01,22.200001,23.100000,21.950001,23.000000,22.789248,3218522
2023-02-01,22.900000,24.200001,22.750000,23.799999,23.581917,5387756
2023-03-01,23.900000,24.900000,22.400000,23.350000,23.136042,6723082
2023-04-01,23.350000,24.500000,22.450001,23.150000,22.937874,5439720
