日期,無風險利率
2019-01-02,1.3
2019-01-03,1.3
2019-01-04,1.3
2019-01-07,1.33
2019-01-08,1.34
2019-01-09,1.34
2019-01-10,1.34
2019-01-11,1.34
2019-01-14,1.35
2019-01-15,1.35
2019-01-16,1.35
2019-01-17,1.35
2019-01-18,1.35
2019-01-21,1.34
2019-01-22,1.34
2019-01-23,1.3
2019-01-24,1.3
2019-01-25,1.29
2019-01-28,1.29
2019-01-29,1.3
2019-01-30,1.29
2019-02-11,1.29
2019-02-12,1.29
2019-02-13,1.29
2019-02-14,1.29
2019-02-15,1.3
2019-02-18,1.3
2019-02-19,1.3
2019-02-20,1.3
2019-02-21,1.3
2019-02-22,1.3
2019-02-25,1.3
2019-02-26,1.3
2019-02-27,1.29
2019-03-04,1.29
2019-03-05,1.29
2019-03-06,1.29
2019-03-07,1.29
2019-03-08,1.3
2019-03-11,1.3
2019-03-12,1.29
2019-03-13,1.29
2019-03-14,1.29
2019-03-15,1.29
2019-03-18,1.29
2019-03-19,1.29
2019-03-20,1.3
2019-03-21,1.27
2019-03-22,1.27
2019-03-25,1.28
2019-03-26,1.28
2019-03-27,1.28
2019-03-28,1.25
2019-03-29,1.25
2019-04-01,1.25
2019-04-02,1.23
2019-04-03,1.2
2019-04-08,1.18
2019-04-09,1.19
2019-04-10,1.2
2019-04-11,1.2
2019-04-12,1.2
2019-04-15,1.2
2019-04-16,1.18
2019-04-17,1.18
2019-04-18,1.18
2019-04-19,1.18
2019-04-22,1.18
2019-04-23,1.16
2019-04-24,1.16
2019-04-25,1.18
2019-04-26,1.18
2019-04-29,1.17
2019-04-30,1.17
2019-05-02,1.17
2019-05-03,1.18
2019-05-06,1.2
2019-05-07,1.2
2019-05-08,1.2
2019-05-09,1.2
2019-05-10,1.19
2019-05-13,1.19
2019-05-14,1.15
2019-05-15,1.15
2019-05-16,1.14
2019-05-17,1.13
2019-05-20,1.15
2019-05-21,1.13
2019-05-22,1.13
2019-05-23,1.11
2019-05-24,1.11
2019-05-27,1.12
2019-05-28,1.12
2019-05-29,1.11
2019-05-30,1.11
2019-05-31,1.11
2019-06-04,1.11
2019-06-05,1.11
2019-06-06,1.11
2019-06-10,1.11
2019-06-11,1.12
2019-06-12,1.12
2019-06-13,1.12
2019-06-14,1.12
2019-06-17,1.13
2019-06-18,1.13
2019-06-19,1.13
2019-06-20,1.13
2019-06-21,1.13
2019-06-24,1.13
2019-06-25,1.13
2019-06-26,1.13
2019-06-27,1.13
2019-06-28,1.17
2019-07-01,1.13
2019-07-02,1.1
2019-07-03,1.1
2019-07-04,1.0
2019-07-05,1.0
2019-07-08,1.0
2019-07-09,1.0
2019-07-10,1.0
2019-07-11,0.95
2019-07-12,0.97
2019-07-15,0.95
2019-07-16,0.95
2019-07-17,0.95
2019-07-18,0.95
2019-07-19,0.95
2019-07-22,0.95
2019-07-23,0.95
2019-07-24,0.97
2019-07-25,0.97
2019-07-26,0.98
2019-07-29,0.98
2019-07-30,0.98
2019-07-31,0.98
2019-08-01,0.98
2019-08-02,0.98
2019-08-05,0.98
2019-08-06,0.98
2019-08-07,0.98
2019-08-08,0.96
2019-08-12,0.96
2019-08-13,0.96
2019-08-14,0.96
2019-08-15,0.96
2019-08-16,0.96
2019-08-19,0.96
