"日期","收市","開市","高","低","升跌（%）"
"2023-4-28","1.585","1.585","1.585","1.585","0.00%"
"2023-4-27","1.585","1.595","1.595","1.585","-0.63%"
"2023-4-26","1.595","1.555","1.595","1.555","2.57%"
"2023-4-25","1.555","1.555","1.555","1.555","0.00%"
"2023-4-24","1.555","1.555","1.555","1.555","0.00%"
"2023-4-21","1.555","1.560","1.560","1.520","-0.32%"
"2023-4-20","1.560","1.560","1.560","1.560","0.00%"
"2023-4-19","1.560","1.545","1.560","1.525","0.97%"
"2023-4-18","1.545","1.545","1.545","1.545","0.00%"
"2023-4-17","1.545","1.545","1.545","1.545","0.00%"
"2023-4-14","1.545","1.545","1.545","1.545","0.00%"
"2023-4-13","1.545","1.555","1.555","1.545","-0.64%"
"2023-4-12","1.555","1.515","1.555","1.515","2.64%"
"2023-4-11","1.515","1.515","1.515","1.515","0.00%"
"2023-4-10","1.515","1.515","1.515","1.515","-1.94%"
"2023-4-7","1.545","1.545","1.545","1.545","0.00%"
"2023-4-6","1.545","1.555","1.555","1.545","-0.64%"
"2023-4-5","1.555","1.555","1.555","1.555","0.00%"
"2023-4-4","1.555","1.555","1.555","1.555","0.00%"
"2023-4-3","1.555","1.555","1.555","1.555","0.00%"
"2023-3-31","1.555","1.545","1.555","1.545","0.65%"
"2023-3-30","1.545","1.545","1.545","1.545","0.00%"
"2023-3-29","1.545","1.545","1.545","1.545","0.00%"
"2023-3-28","1.545","1.545","1.545","1.545","0.00%"
"2023-3-27","1.545","1.545","1.545","1.545","2.66%"
"2023-3-24","1.505","1.515","1.515","1.505","-0.66%"
"2023-3-23","1.515","1.535","1.535","1.515","-1.30%"
"2023-3-22","1.535","1.535","1.535","1.535","0.00%"
"2023-3-21","1.535","1.535","1.535","1.535","0.00%"
"2023-3-20","1.535","1.535","1.535","1.535","0.00%"
"2023-3-17","1.535","1.525","1.535","1.525","0.66%"
"2023-3-16","1.525","1.545","1.545","1.525","-1.29%"
"2023-3-15","1.545","1.535","1.545","1.535","0.65%"
"2023-3-14","1.535","1.535","1.535","1.535","0.00%"
"2023-3-13","1.535","1.535","1.535","1.535","-1.92%"
"2023-3-10","1.565","1.565","1.565","1.565","0.00%"
"2023-3-9","1.565","1.545","1.565","1.545","1.29%"
"2023-3-8","1.545","1.555","1.555","1.545","-0.64%"
"2023-3-7","1.555","1.545","1.555","1.545","0.65%"
"2023-3-6","1.545","1.560","1.560","1.545","-0.96%"
"2023-3-3","1.560","1.555","1.560","1.555","0.32%"
"2023-3-2","1.555","1.545","1.555","1.545","0.65%"
"2023-3-1","1.545","1.545","1.545","1.545","0.00%"
"2023-2-28","1.545","1.545","1.545","1.545","0.00%"
"2023-2-27","1.545","1.545","1.545","1.545","0.00%"
"2023-2-24","1.545","1.545","1.545","1.545","0.00%"
"2023-2-23","1.545","1.545","1.545","1.545","0.00%"
"2023-2-22","1.545","1.525","1.545","1.525","1.31%"
"2023-2-21","1.525","1.525","1.525","1.525","0.00%"
"2023-2-20","1.525","1.525","1.525","1.525","0.00%"
"2023-2-17","1.525","1.505","1.525","1.505","1.33%"
"2023-2-16","1.505","1.495","1.505","1.495","0.67%"
"2023-2-15","1.495","1.485","1.495","1.485","0.67%"
"2023-2-14","1.485","1.485","1.485","1.485","0.00%"
"2023-2-13","1.485","1.485","1.485","1.485","-0.67%"
"2023-2-10","1.495","1.485","1.495","1.485","0.67%"
"2023-2-9","1.485","1.485","1.485","1.485","0.00%"
"2023-2-8","1.485","1.465","1.485","1.465","1.37%"
"2023-2-7","1.465","1.465","1.465","1.465","0.00%"
"2023-2-6","1.465","1.445","1.465","1.445","1.38%"
"2023-2-3","1.445","1.445","1.445","1.445","0.00%"
"2023-2-2","1.445","1.455","1.455","1.445","-0.69%"
"2023-2-1","1.455","1.455","1.455","1.455","0.00%"
"2023-1-31","1.455","1.455","1.455","1.455","0.00%"
"2023-1-30","1.455","1.455","1.455","1.455","0.00%"
"2023-1-27","1.455","1.455","1.455","1.455","0.00%"
"2023-1-26","1.455","1.455","1.455","1.455","0.00%"
"2023-1-25","1.455","1.455","1.455","1.455","0.00%"
"2023-1-24","1.455","1.455","1.455","1.455","0.00%"
"2023-1-23","1.455","1.455","1.455","1.455","0.00%"
"2023-1-20","1.455","1.475","1.475","1.455","-1.36%"
"2023-1-19","1.475","1.475","1.475","1.475","0.00%"
"2023-1-18","1.475","1.475","1.475","1.475","0.00%"
"2023-1-17","1.475","1.495","1.495","1.475","-1.34%"
"2023-1-16","1.495","1.495","1.495","1.495","0.00%"
"2023-1-13","1.495","1.525","1.525","1.495","-1.97%"
"2023-1-12","1.525","1.525","1.525","1.525","0.00%"
"2023-1-11","1.525","1.525","1.525","1.525","0.00%"
"2023-1-10","1.525","1.525","1.525","1.525","0.00%"
